Localisation;l_ar;Code_Lat;Code_Long;Date_instal;2022;2023;2024
38 rue Turbigo;3ème Ardt;48.862872380016924;2.360000985897692;10/12/2019;525781;2065564;2083759
18 quai de l'Hôtel de Ville;4ème Ardt;48.85434142627288;2.357629620324997;12/07/2017;23;535932;592444
Totem 64 Rue de Rivoli;4ème Ardt;48.85434142627288;2.357629620324997;04/09/2019;96587;3082615;3231174
27 quai de la Tournelle;5ème Ardt;48.844443150532705;2.3507146095752587;14/11/2019;35754;1822896;2115600
243 boulevard Saint Germain;7ème Ardt;48.85617443127909;2.3121876953655494;13/12/2018;33;407921;350241
Pont des Invalides;7ème Ardt;48.85617443127909;2.3121876953655494;06/11/2019;283;743470;751526
Quai d'Orsay;7ème Ardt;48.85617443127909;2.3121876953655494;07/11/2019;89562;2450309;2279486
Pont de la Concorde;8ème Ardt;48.872720837434464;2.312554022402065;08/11/2019;67821;1875584;1650421
33 avenue des Champs Elysées;8ème Ardt;48.872720837434464;2.312554022402065;30/10/2019;2478;450041;399392
44 avenue des Champs Elysées;8ème Ardt;48.872720837434464;2.312554022402065;30/10/2019;1879;356181;267481
